Date,Open,High,Low,Close,Volume,Volume(ETH),Market Cap
04/15/2024,$3147,$3269,$3035,$3101,$18.9 bn,5961390,$387.2 bn
04/14/2024,$3011,$3166,$2923,$3153,$23 bn,7530369,$373.4 bn
04/13/2024,$3230,$3293,$2883,$3013,$26.6 bn,8310467,$391.3 bn
04/12/2024,$3503,$3551,$3173,$3242,$19.5 bn,5680677,$420.2 bn
04/11/2024,$3542,$3613,$3486,$3506,$12.7 bn,3574952,$433.1 bn
04/10/2024,$3503,$3555,$3421,$3543,$15.8 bn,4509418,$429.2 bn
04/09/2024,$3700,$3720,$3466,$3506,$16.1 bn,4465773,$440.5 bn
04/08/2024,$3452,$3725,$3412,$3695,$17.2 bn,4794109,$437.8 bn
04/07/2024,$3355,$3458,$3347,$3454,$8.9 bn,2633564,$415.2 bn
04/06/2024,$3318,$3394,$3311,$3356,$8.1 bn,2414072,$408.5 bn
04/05/2024,$3325,$3342,$3217,$3320,$13.3 bn,4020063,$403.6 bn
04/04/2024,$3309,$3432,$3256,$3327,$12.7 bn,3796537,$408.2 bn
04/03/2024,$3279,$3359,$3218,$3315,$14 bn,4220752,$405.6 bn
04/02/2024,$3505,$3505,$3225,$3275,$19.1 bn,5729456,$407.6 bn
04/01/2024,$3643,$3643,$3425,$3504,$15 bn,4249068,$432.4 bn
03/31/2024,$3506,$3653,$3506,$3648,$9.6 bn,2653333,$440.8 bn
03/30/2024,$3511,$3564,$3489,$3507,$8.9 bn,2527076,$430.4 bn
03/29/2024,$3560,$3568,$3479,$3511,$11.9 bn,3361943,$432.2 bn
03/28/2024,$3500,$3607,$3471,$3562,$14.3 bn,4036546,$434.9 bn
03/27/2024,$3587,$3662,$3467,$3505,$16.3 bn,4578990,$435.5 bn
03/26/2024,$3588,$3672,$3551,$3590,$16.2 bn,4474039,$442 bn
03/25/2024,$3457,$3646,$3425,$3588,$16.6 bn,4730016,$430.1 bn
03/24/2024,$3331,$3466,$3302,$3454,$10.9 bn,3217997,$412.7 bn
03/23/2024,$3331,$3427,$3276,$3335,$11.5 bn,3412094,$411.6 bn
03/22/2024,$3494,$3532,$3260,$3323,$17.7 bn,5184647,$417.3 bn
03/21/2024,$3506,$3580,$3418,$3491,$19.7 bn,5614661,$429.6 bn
03/20/2024,$3166,$3528,$3067,$3512,$33.9 bn,10308565,$402.3 bn
03/19/2024,$3521,$3544,$3152,$3160,$29.3 bn,8830574,$406.2 bn
03/18/2024,$3641,$3641,$3469,$3525,$18.7 bn,5241367,$436.1 bn
03/17/2024,$3533,$3675,$3428,$3645,$18.2 bn,5080870,$438.2 bn
03/16/2024,$3741,$3775,$3486,$3524,$18.2 bn,4953481,$449.8 bn